Indicator,Disaggregation combinations using this value
#1-1-1,10
#1-2-1-1a,38
#1-3-1,10
#1-3-1-1c,3
#1-3-1-1e,3
#1-3-1-1f,2
#1-3-1-1g,3
#1-5-2,10
#1-a-2,3
#1-b-1-1,10
#10-3-1-1a,2
#10-4-1,1
#10-5-1-1,3
#11-5-2,10
#11-6-1-1,1
#11-7-1-1a,10
#12-4-2,1
#13-1-1,30
#15-1-1-1,8
#15-1-2-1,1
#15-4-1,1
#15-b-1-1,12
#16-1-4-1a,10
#16-2-2,1
#16-3-1,3
#16-5-1-1a,10
#16-5-1-1b,6
#16-6-2-1a,10
#16-b-1,32
#16-b-1-1,33
#17-1-2,1
#17-3-1-1a,19
#17-4-1,1
#17-6-2,3
#2-1-1,12
#2-1-1-1e,10
#2-2-1,57
#2-2-2,40
#2-a-1,1
#2-c-1-1b,10
#3-1-1,10
#3-1-2,10
#3-2-1,10
#3-2-2,10
#3-3-2,30
#3-3-3,10
#3-3-4,30
#3-4-1,40
#3-4-2,10
#3-5-1-1,30
#3-5-2-1,30
#3-6-1,10
#3-7-1,59
#3-7-2,10
#3-9-1-1,29
#3-9-2,10
#3-9-3,10
#3-b-1,30
#3-c-1,4
#4-1-1-1a,32
#4-2-1,38
#4-2-2,1
#4-2-2-1a,26
#4-3-1-1a,9
#4-4-1,18
#4-4-1-1a,7
#4-b-1-1,6
#5-2-1-1a,5
#5-3-1,40
#5-5-1,1
#5-5-2,1
#5-6-1-1,12
#6-1-1,12
#6-1-1-2b,2
#6-2-1,22
#6-3-1,1
#6-4-2-1,12
#7-1-2,13
#7-3-1-1,1
#7-3-1-2,3
#7-b-1-1a,1
#8-1-1,1
#8-10-1,2
#8-10-2-2,2
#8-2-1,1
#8-3-1-1,16
#8-3-1-2,2
#8-5-1-1,40
#8-5-2,37
#8-6-1,3
#8-8-1,56
#8-9-1-1,1
#9-2-1,2
#9-2-2,13
#9-3-1,1
#9-4-1-1,6
#9-5-1,1
#9-5-2,1
#9-c-1,3
