Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2007,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,3014
2008,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,2136
2009,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,1742
2010,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,1862
2011,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,2098
2012,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,2843
2013,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,2466
2014,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,2411
2015,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,2483
2016,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,3800
2017,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,3242
2018,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A1,,NUMBER,3237
2007,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,619
2010,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,309
2011,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,196
2012,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,501
2013,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,384
2015,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,374
2016,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,615
2017,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,531
2018,Normal value,Units,Country Data,Annual,National,_L_KG_100301_1A2,,NUMBER,376
